ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0072080,nephron tubule development,21/1451,101/18986,0.2079207920792079,2.7205955605898287,4.987318593802967,2.0928399417074837e-5,0.0014905977111135012,0.0012670087791140459,HES5/ADAMTS16/HOXA11/SALL1/LHX1/SHH/POU3F3/PAX2/EYA1/WT1/GLI3/WNK4/NOG/KIF26B/HS3ST3B1/WNT6/TMEM59L/TFAP2B/TCF21/WNT11/SIX1,21
GO:0019731,antibacterial humoral response,18/1451,79/18986,0.22784810126582278,2.981339800574026,5.076300453638803,2.1895926800708247e-5,0.0015392552178212175,0.001308367683470892,KLK7/ANG/ADM/KLK5/RNASE4/RNASE7/KLK3/IGHG3/CALCA/MMP7/IGHG4/IGHM/SPINK5/IGHG2/IGKV3-20/IGHA1/IGHG1/JCHAIN,18
GO:0042475,odontogenesis of dentin-containing tooth,20/1451,94/18986,0.2127659574468085,2.783993430796076,4.987746023287032,2.293535312328259e-5,0.0015916546981580599,0.0013529072672316899,FOXI3/WNT10A/SMPD3/BMP7/FAM20A/ADM/MSX1/KLK5/FAM20C/SHH/DLX3/GLI3/DMRT3/MSX2/SCN5A/LEF1/PDGFRA/WNT6/SOSTDC1/LRP4,20
GO:0048754,branching morphogenesis of an epithelial tube,28/1451,158/18986,0.17721518987341772,2.3188198448909088,4.788484037808655,2.3459105382665105e-5,0.0016073941447641291,0.0013662858044987234,PGR/ESR1/HHIP/ADAMTS16/BMP7/HOXA11/SALL1/IHH/LHX1/SHH/PAX2/EYA1/WT1/NKX3-1/GLI3/NOG/MSX2/LEF1/FOXC2/HS3ST3B1/TNF/WNT2/WNT6/FOXA1/TMEM59L/CCL11/TCF21/SIX1,28
GO:0042391,regulation of membrane potential,61/1451,466/18986,0.13090128755364808,1.7128131257708907,4.481612236187518,2.4832359858117164e-5,0.0016802195488998524,0.0014281874334188174,CDKN2A/TRPM4/GABRE/CLDN19/FGF12/SCN8A/GRIK5/SCN4A/GRIN1/PTPN3/KCNS1/SLC8A1/WNT7A/GABRQ/CELF4/RANGRF/KCND1/KCNK6/GNA14/KCNH2/RIMS3/SCN11A/CNGB1/SCN2B/KCNN2/GABRG3/TMEM108/KCNE4/GRIN2B/NLGN1/PIP5KL1/KCNG1/KCNQ3/IFI6/UBB/NOS1/HCN4/GABRA3/CHRNB4/KCND3/KCNK2/CCN6/KCNK3/HTR3A/NTSR1/SCN3B/RIMS4/KCNN4/CNR1/GRIN2A/KCNMB4/SCN5A/ACTN2/DRD2/TNF/RELN/SCN7A/SCN2A/PLN/TBX18/GABRP,61
GO:0001504,neurotransmitter uptake,13/1451,46/18986,0.2826086956521739,3.6978695352530484,5.269822584903089,2.6834411485302945e-5,0.0017932675230857389,0.0015242782664361167,SLC6A12/SLC6A11/SLC6A13/SLC38A1/SNAP25/SYNGR3/NOS1/GFAP/SLC6A2/SLC18A3/SLC1A2/DRD2/SLC1A3,13
GO:0072006,nephron development,28/1451,160/18986,0.175,2.289834596829772,4.713039804990646,2.974353724361551e-5,0.0019634361841425704,0.0016689217110634582,HES5/COL4A4/ADAMTS16/BMP7/COL4A3/HOXA11/SALL1/LHX1/SHH/ERBB4/POU3F3/PAX2/EYA1/WT1/GLI3/WNK4/NOG/KIF26B/FOXC2/PDGFRA/HS3ST3B1/WNT6/TMEM59L/TFAP2B/TCF21/WNT11/SIX1/DCHS2,28
GO:2000027,regulation of animal organ morphogenesis,18/1451,81/18986,0.2222222222222222,2.9077264721647906,4.949443791960809,3.137704131269071e-5,0.0020463123448866845,0.0017393664879869512,WNT10A/PAX9/BMP7/HOXA11/LHX1/MSX1/SHH/WT1/ROBO2/DMRT3/NOG/HOXC11/TNF/WNT2/MESP1/FGF7/AJAP1/SIX1,18
GO:0043269,regulation of monoatomic ion transport,62/1451,480/18986,0.12916666666666668,1.6901160119457848,4.40527034480777,3.205065699092859e-5,0.002065359598713053,0.0017555566629993595,RGS9/EPHB2/GABRE/WNK3/NKAIN4/FGF12/GCK/GRIN1/PTPN3/KCNS1/LRRC26/KCNJ12/ATP2C2/GSTM2/SLC8A1/GNB5/RANGRF/KCNIP3/HFE/TMEM38A/PCSK9/KCNH2/SCN2B/KCNN2/KCNJ4/JPH3/KCNE4/GRIN2B/KCNG1/FXYD6/TRPV3/KCNRG/TMC1/NOS1/KCNJ16/CACNA1F/CACNG6/ADRA2A/NTSR1/SCN3B/TESC/KCNN4/CXCL9/CNR1/WNK4/GRIN2A/GAL/SCN5A/NKAIN1/PTGS2/ACTN2/CXCR3/DRD2/IFNG/CNTN1/CALCA/EPPIN/PLPP4/GRP/RELN/PLN/ADCYAP1R1,62
GO:0042476,odontogenesis,25/1451,136/18986,0.18382352941176472,2.4052884420480805,4.731135354972959,3.348535263542552e-5,0.0021324260448889218,0.0018125631748538078,FOXI3/WNT10A/PAX9/SMPD3/BMP7/FAM20A/ADM/MSX1/KLK5/FAM20C/TSPEAR/SHH/DLX3/GLI3/DMRT3/ASPN/MSX2/SCN5A/LEF1/AQP3/PDGFRA/WNT6/SOSTDC1/AQP5/LRP4,25
