Gene,Importance
AGR2,4.5033181610178066e-4
MS4A1,4.484129907939125e-4
SP7,4.4701720778000785e-4
SLC6A2,4.370210124194871e-4
AOC1,4.3379621413195736e-4
FCRL5,4.275275891454533e-4
KIF1A,4.1959664796549734e-4
SPAG17,4.1792877224538973e-4
HOXC10,4.179222160864535e-4
CTSE,4.089646910001765e-4
CECR2,4.081091214914128e-4
HOXA9,4.0490790604006045e-4
AL157931.1,4.0486883693623566e-4
BRINP2,4.019360586717884e-4
DCAF12L1,4.0117150071487464e-4
SEZ6L,3.989205455398066e-4
CHIA,3.9550148233296234e-4
`IGKV3-15`,3.923743837941267e-4
CYP4F3,3.905616517754586e-4
AKAP14,3.891745797729731e-4
PLA2G2D,3.8750257167224976e-4
FGF9,3.859990296307694e-4
SIX3,3.808354728595831e-4
IGLC2,3.7492032626456197e-4
AL713852.1,3.7463154579426774e-4
`IGLV1-47`,3.7064782229631165e-4
`LHX1-DT`,3.7024572649572643e-4
SYT14,3.6973752988814977e-4
SPAG6,3.697038513037694e-4
NELL1,3.6738956887102714e-4
SMIM6,3.673205797470509e-4
`SRGAP3-AS2`,3.6714661344092913e-4
WNT16,3.655500828727447e-4
CLDN16,3.654576824882625e-4
CST2,3.654413043708278e-4
CRISP3,3.650710782737434e-4
Z99496.1,3.6212147502238403e-4
AL033530.1,3.568583961290817e-4
CA6,3.5620159343137403e-4
MAL,3.5610677214771444e-4
SNTN,3.5483396460624084e-4
KRT83,3.5250402447343875e-4
GLYATL3,3.5248034218059e-4
BEX1,3.5173803390317794e-4
LINC01480,3.516111928148693e-4
LINC02167,3.508426539779876e-4
TMEM213,3.505322270184494e-4
LINC01036,3.4921720927015933e-4
PLD5,3.4855874964092237e-4
HNF1A,3.480994767666301e-4
LINC01436,3.472990368485338e-4
HOXC6,3.459169719169717e-4
SPON1,3.454552866426148e-4
GAS2L2,3.4431094980651866e-4
CALML3,3.419954520822306e-4
CHRDL1,3.3966976610941854e-4
H19,3.3837679967091725e-4
HABP2,3.3679784051882854e-4
FMO2,3.3630046604476196e-4
BPIFB2,3.357699537488905e-4
SCGB1A1,3.3560850091376814e-4
`IGLV3-10`,3.3432358632477663e-4
`HOXA-AS3`,3.3303744350634526e-4
GSTA1,3.2920351277097783e-4
TRIM58,3.279067548958454e-4
CRYBA4,3.2553989132748937e-4
LINC01806,3.240156036607034e-4
`IGKV3-20`,3.2188209796909237e-4
MAP3K19,3.210466510572629e-4
LINC01833,3.2094739200385746e-4
MUC5AC,3.208673571549596e-4
ROPN1L,3.1742561207175204e-4
ADAMTS19,3.162275522068529e-4
`TRHDE-AS1`,3.152272824267708e-4
IGHG4,3.1473966233600323e-4
AC007906.2,3.110618500480671e-4
PNMT,3.1058004914773707e-4
AC008060.4,3.097705286872652e-4
CST1,3.0717009894074774e-4
NPAS3,3.066199253712394e-4
AMBP,3.060596585509041e-4
`UMODL1-AS1`,3.0549711505376155e-4
AL357093.2,3.0094789124639854e-4
C1QL4,3.0075007273417363e-4
VSNL1,3.004127573196007e-4
PLPPR3,2.9999540657470793e-4
CXCL17,2.9966783056023006e-4
HOXC9,2.976518391749161e-4
IGDCC3,2.9645826220762284e-4
LINC02418,2.9212447352518846e-4
CHRM2,2.8626916142643897e-4
FAM216B,2.8416140036434135e-4
SP3P,2.8324938949938973e-4
VNN1,2.822270290486053e-4
C20orf85,2.811131469114416e-4
SOX11,2.783821875025736e-4
APCDD1L,2.7637319680663317e-4
HYDIN,2.730781062762484e-4
`IGHV3-73`,2.7094466078484336e-4
CROCC2,2.7053597884506655e-4
TUBB2B,2.7048003315044465e-4
CPLX2,2.689810238560206e-4
IGHJ2,2.684006587740191e-4
GLDC,2.656664865436238e-4
`IGLV3-21`,2.6548803857547076e-4
IGHG3,2.6546970233408927e-4
AC016769.5,2.6485418276891195e-4
BARX2,2.647780422778081e-4
MTRNR2L8,2.5925553894763854e-4
NLRP7,2.568994105832416e-4
FGF19,2.553217447725862e-4
TENM1,2.5481208249942286e-4
LBP,2.54603230619449e-4
`IGKV1-6`,2.5444625542815944e-4
IGHGP,2.501634854480601e-4
PIGR,2.4889780562706233e-4
CIBAR2,2.485444000505794e-4
KRT4,2.483030285357293e-4
PRSS1,2.467174523092115e-4
`IGHV3-23`,2.4606527062590765e-4
PADI1,2.459146850653793e-4
DRC1,2.457194298297256e-4
CFAP299,2.450393987687869e-4
WNT11,2.4471736716668267e-4
SRD5A2,2.432662696197172e-4
`IGLV3-25`,2.4273330790724267e-4
CXCL5,2.4189719567656765e-4
LINC01518,2.4160848384216483e-4
MKRN3,2.4139990484271047e-4
CFTR,2.4108660361486334e-4
ENPP3,2.4030847091200514e-4
FGF4,2.4019016191868857e-4
ITIH2,2.3881309650433913e-4
CDH22,2.3874780874791224e-4
FRMPD1,2.3840132609483322e-4
