Gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
SLC25A35,-1.852501087730694,5.18150505230975,-6.182829391357555,2.787776283345305e-9,5.805201350687498e-8,10.536845525887673
ADAM33,1.8625397537677102,2.295334084223526,6.181016794398564,2.8154198727960787e-9,5.8567649431635115e-8,10.64352989212027
C1QTNF12,1.3821928104306116,0.40559465543902745,6.1763501403634296,2.8878322204254483e-9,6.001257878111126e-8,10.759248565786857
DGAT2,1.1951854639977233,2.7371783440052555,6.169684164156734,2.994443034963345e-9,6.203777802507137e-8,10.560451416232512
SLC22A15,1.188660421207461,0.9873133851969794,6.167082703075215,3.0370870232424097e-9,6.285718600853231e-8,10.700345993022614
ADORA2B,-1.1996745494532832,1.1335229475038766,-6.164244172631147,3.0842961272894695e-9,6.37045065965764e-8,10.701843929633831
CHST15,1.2834457091286255,4.765026497559112,6.163587327047639,3.095322504113587e-9,6.386734474477618e-8,10.341987604782695
AL009178.2,2.0153593609038234,-1.7421853963560954,6.162495652168187,3.113733805310433e-9,6.418207490783898e-8,10.751206961718344
IFIT2,1.1610449854524298,3.2784319542840565,6.160506720458708,3.1475537592722016e-9,6.474785688608119e-8,10.466500079190006
DOK5,1.6573612247026488,0.19673420080906426,6.146060363612855,3.4042379388834577e-9,6.97456974494631e-8,10.61297153475621
MNX1-AS2,-1.974720713611465,-1.9946829491643185,-6.144873894758648,3.4262081728590466e-9,7.005458239958477e-8,10.660984633562583
ELP3,-1.1992238591137045,6.728148028244113,-6.144300018794474,3.436884610095382e-9,7.020225408600859e-8,10.153541107708886
LBX2-AS1,-1.142064884977294,2.870075376108948,-6.136175830641347,3.591570593944062e-9,7.286179443263205e-8,10.43524707040391
COL9A2,1.3206926264575856,6.023987341168768,6.136144376486483,3.592182543864264e-9,7.286179443263205e-8,10.105179443435599
NQO1,-1.8013345288629692,6.015052236412215,-6.134097078363545,3.632233803785661e-9,7.360071767511443e-8,10.135462697452112
NLRP7,2.20645170085378,-1.3289524891937687,6.132562492795699,3.6625414116271494e-9,7.414092793815755e-8,10.58283949535047
BST2,1.8569138706569506,7.39290802102141,6.125360678140156,3.808116778950351e-9,7.701110986605666e-8,10.034952984021622
AC010531.6,-1.2635716785645492,-0.5317107332159915,-6.118791623735337,3.945835304670194e-9,7.955868723424306e-8,10.511379152395598
PRSS1,2.8530235771228227,-1.155292334031681,6.1172300048859745,3.979285241443668e-9,8.007425073970407e-8,10.501010360809126
PLEKHA4,1.1626257517944962,5.114356208172777,6.116860276857768,3.9872454059833994e-9,8.007586524822788e-8,10.044027575361516
PAPLN,1.3771282042656723,3.484031515774541,6.116549954296688,3.993938621732607e-9,8.0131104193577e-8,10.214569616674273
PELI2,1.319430696864071,2.8207452162860767,6.111810920198151,4.0975306701872475e-9,8.204750082845874e-8,10.249156440204398
NFE2,1.7965686683008102,1.7863478456151698,6.111244525369485,4.110086383896958e-9,8.217310006326988e-8,10.391168401744606
IGDCC3,2.3551079632262812,-0.5150187154962323,6.111163323802997,4.1118895278658464e-9,8.217310006326988e-8,10.46202513193743
UPK3B,2.1441194197413456,1.3964775289496463,6.109122454471014,4.15746394386733e-9,8.292080195795841e-8,10.340850899916743
ABCA3,1.4216018796799368,3.2678175230392146,6.108088309419036,4.18074581620736e-9,8.330340977313568e-8,10.158637188511335
OBSCN-AS1,1.4805161107738642,0.3533468823252103,6.106805392292342,4.209805866640753e-9,8.380028837767548e-8,10.40323749028052
RNF165,1.4735789768767036,0.3821958132240968,6.104669012203161,4.258637803449212e-9,8.468938817739901e-8,10.389261543772037
DLGAP4-AS1,1.045311230536414,-0.95116566769974,6.103341548769331,4.289259071561644e-9,8.521495735133808e-8,10.43067919959382
CRIM1-DT,1.1808925329974702,-0.22495847733408675,6.097381955233385,4.4294103087874585e-9,8.757133766128046e-8,10.384045333571304
LINC00884,1.4311708766772082,-0.3727521519679924,6.096881483977703,4.441381928420414e-9,8.772268835103642e-8,10.382860477254793
SCN11A,1.5680604271453709,-1.2252855187584322,6.0879389613410675,4.660713350716422e-9,9.157036130360679e-8,10.362197295811885
BSN,1.2024354685268523,1.2881106809872875,6.081741577612228,4.818902261971319e-9,9.43539205898893e-8,10.228579246987984
TECTA,1.0513091174912994,0.206421505932247,6.079922885829448,4.86631423108094e-9,9.519053939604332e-8,10.277528795275948
TNFSF10,1.2110340731535532,6.348034843626892,6.076366864540803,4.960340560013455e-9,9.684338284506576e-8,9.787177149048336
ZNF829,1.1795090324389854,1.5782370497650675,6.075500069651417,4.983528186820909e-9,9.720271292605388e-8,10.18594462881789
SCGB2A2,-3.9842488106350245,0.7165798326200095,-6.057843413114253,5.47964173837656e-9,1.0596407106637982e-7,10.199868699722982
PDE6G,1.65781285007413,-0.34654245895173774,6.055678241477874,5.543711554820413e-9,1.0689790667947824e-7,10.162014523468494
ZBTB46,1.0432862396608247,2.8967469651409066,6.051197402927362,5.67864278121761e-9,1.0929236352790409e-7,9.941162888200587
PIGR,-3.3638746311175787,8.406753645436261,-6.049401300947303,5.7336267993474525e-9,1.1003798967888351e-7,9.659541047249165
NPM2,-1.2896327206451175,1.4382453449758985,-6.049131265524449,5.741938331240312e-9,1.1009354211710197e-7,10.092312871764449
MUC20,1.532065358443682,4.589257537373975,6.04392713463562,5.904442116901483e-9,1.1299612201874362e-7,9.713424315561891
SALL4,1.9447068645705292,1.0739080732404511,6.043396253977375,5.921270256194018e-9,1.1310516605910453e-7,10.043463502558717
ZFPM2,1.31776258577524,0.07296211955478987,6.042561099934878,5.947838491566686e-9,1.1350598075361627e-7,10.086773882445863
ARMCX1,1.355893936238564,2.7096221627414607,6.042010758619268,5.965409909923565e-9,1.1373451314191983e-7,9.92298537043898
CILP2,1.5441483787283445,2.0430123672934144,6.030083190403929,6.3589674387716366e-9,1.2067194605564403e-7,9.868548289013113
SLITRK2,2.550702764102704,-2.754060827037344,6.028737311442041,6.404940247913656e-9,1.2131780577688457e-7,10.068164017448149
SEMA6C,1.174864633938323,3.6391395943970894,6.024639947462576,6.546910869721371e-9,1.2377620141043455e-7,9.696843091961853
ARRDC4,-1.044027163943186,4.077055990466833,-6.022987107995573,6.605048373852637e-9,1.247592966079749e-7,9.734243222044386
SALL1,-1.2906835089853734,5.39446661642941,-6.022109514327522,6.636122211010032e-9,1.2504524684672803e-7,9.575254052257995
ATP8A2,1.4292343398072789,-0.8150228898891495,6.022038441325814,6.638645018087953e-9,1.2504524684672803e-7,10.012058467300502
PNPLA5,1.8750855802409312,-2.9941284959545107,6.021116273605638,6.671463512855946e-9,1.2554705966230023e-7,10.030462670969534
BLACAT1,1.6788952856671633,2.5603785597152013,6.01814817282628,6.778175298773021e-9,1.2720187882942092e-7,9.806475686892325
IGSF23,1.931154667955939,-1.4096736395313787,6.017432053384673,6.8041709807352605e-9,1.275719289782873e-7,9.995795249955352
AC008060.4,-4.078837207721238,-1.0729142101273912,-6.016840482959424,6.8257190171790466e-9,1.2785798461303867e-7,10.008712914764665
LINC01186,1.7352280606113308,-2.3790239773229023,6.013615529903972,6.944368135625856e-9,1.2962781787623126e-7,9.99181916536527
LPAR1,-1.1568643361991078,3.969779967651858,-6.013579255629216,6.94571411470261e-9,1.2962781787623126e-7,9.710124508474927
