Gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
THBS4-AS1,-0.8438871261640412,-0.16025035161534168,-3.729502962258745,2.4089686202464307e-4,8.458859405302083e-4,0.055381489314214605
CRYBB1,-1.3436021486875396,-0.590638516570538,-3.7283661638369416,2.4192414969005446e-4,8.49346418777106e-4,0.07526325490988306
RND2,1.0848763763582903,2.439781081903488,3.7282090476507066,2.420664553727941e-4,8.496645817173222e-4,-0.24898477001107988
TTC31,0.2388177902531483,4.859667802027286,3.728173806049637,2.420983857865092e-4,8.496645817173222e-4,-0.5439471683928376
MYRIP,-0.9875240389816031,2.3848732473546104,-3.728067702868194,2.421945438661729e-4,8.498553020607904e-4,-0.16871555818476125
PJA1,0.4810877396155506,4.853354857328374,3.727526530189368,2.4268555342881593e-4,8.514312425146305e-4,-0.5531895282986863
AC074124.1,-1.4301396924948229,-0.3048896802627931,-3.726712642961014,2.4342576864303528e-4,8.538807942528562e-4,0.033969983516428215
KLF9,-0.507494479214885,4.139292882197999,-3.7253304574572175,2.446877264999024e-4,8.581593362181219e-4,-0.44513727850950957
STK39,-0.5068000758440503,4.642559720164456,-3.725053998443093,2.4494087819871614e-4,8.588989662716885e-4,-0.5122834201448594
ADRB2,-1.1082248896942382,-0.29329551016413613,-3.725005674874473,2.4498515315182025e-4,8.589060294389503e-4,0.04121075856688261
ZMYM1,0.4095284127304537,3.0113075116747883,3.723985878355834,2.459212737368146e-4,8.620393182868265e-4,-0.30230593245825865
ACP1,0.2786320157486202,6.678838331012468,3.7238404972174908,2.460550008158052e-4,8.623593441249223e-4,-0.6552091919345147
WNT5A,-0.7051772474639932,5.382442790651136,-3.7233745218926058,2.4648408536549266e-4,8.637142329255643e-4,-0.5944814367905895
GPATCH3,0.24827796365379617,3.890139267853961,3.722814620928103,2.470005938743389e-4,8.653749474059755e-4,-0.43632981239629576
SLC41A3,-0.31710585323189466,6.147986550841398,-3.722523289432202,2.472697510815522e-4,8.661686351226244e-4,-0.6435882421924717
TP53RK,0.3020045610752451,4.401972339435737,3.7209449882463472,2.487327417572946e-4,8.711432437489669e-4,-0.5225843420632215
