ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0048704,embryonic skeletal system morphogenesis,18/667,95/18986,0.18947368421052632,5.39332439043636,8.19115108463267,4.694149128426794e-9,7.581989672234958e-7,7.271484060413547e-7,HOXB4/HOXB3/HOXB8/HOXC11/FGF8/HOXB2/RUNX2/HOXC9/HOXB1/HOXB7/HOXB5/HOXA9/HOXB6/BMP4/SIX2/HOXA5/HOXA7/PAX5,18
GO:0048515,spermatid differentiation,29/667,240/18986,0.12083333333333333,3.4394927536231887,7.257184816763505,7.033165635819092e-9,1.0923047245168268e-6,1.047571513124633e-6,SPAG17/KLC3/MEIG1/PACRG/CFAP58/SPAG16/CFAP43/CFAP53/CFAP221/ARMC3/CFAP57/RSPH1/DRC1/SOX30/ADGB/STK33/CFAP54/ROPN1B/CFAP61/DPY19L2/KIT/DRC7/CFTR/CFAP52/CFAP65/DNALI1/CATSPERD/CFAP73/ROPN1L,29
GO:0007281,germ cell development,38/667,390/18986,0.09743589743589744,2.773490177987929,6.752563217053097,1.4817896311544678e-8,2.2160987150376815e-6,2.125342710727987e-6,MLH1/SPAG17/KLC3/MEIG1/PACRG/CFAP58/SPAG16/CFAP43/CFAP53/CFAP221/NANOS1/ARMC3/CFAP57/RSPH1/DRC1/SOX30/ADGB/STK33/CFAP54/ROPN1B/CFAP61/BMP4/DPY19L2/KIT/DRC7/CFTR/AMH/CFAP52/INHBB/YBX2/CELF4/CFAP65/FMN2/DNALI1/CATSPERD/CFAP73/ROPN1L/IHH,38
GO:0006959,humoral immune response,33/667,310/18986,0.1064516129032258,3.030120423659138,6.876667898078053,1.585969493392554e-8,2.2871945765425476e-6,2.1935269797711303e-6,CFI/C8B/CFD/CXCL13/CXCL9/CXCL5/CFB/IGHG1/DMBT1/C4BPA/CFH/IGHG3/MMP7/CCL13/IGHM/CCL11/C6/IFNG/C3/AZU1/IGHG4/HAMP/CCL19/REG1A/IGHG2/CXCL1/CXCL14/CXCL10/IGKV3-20/MS4A1/KLK3/CAMP/LTF,33
GO:0003351,epithelial cilium movement involved in extracellular fluid movement,12/667,46/18986,0.2608695652173913,7.4255915520500615,8.325673598063895,4.1661215266937944e-8,5.800965077513635e-6,5.563397857243728e-6,SPAG17/DNAH9/SPAG16/CFAP43/CFAP53/CFAP221/DNAAF1/CFAP54/DNAH5/DNAI1/RSPH4A/ROPN1L,12
GO:0022412,cellular process involved in reproduction in multicellular organism,39/667,427/18986,0.09133489461358314,2.5998265504250218,6.380091217754756,5.548749340643811e-8,7.468616612506569e-6,7.162753973413538e-6,MLH1/SPAG17/KLC3/MEIG1/PACRG/CFAP58/SPAG16/CFAP43/CFAP53/CFAP221/NANOS1/ARMC3/CFAP57/RSPH1/DRC1/SOX30/ADGB/NOX5/STK33/CFAP54/ROPN1B/CFAP61/BMP4/DPY19L2/KIT/DRC7/CFTR/AMH/CFAP52/INHBB/YBX2/CELF4/CFAP65/FMN2/DNALI1/CATSPERD/CFAP73/ROPN1L/IHH,39
GO:0048562,embryonic organ morphogenesis,31/667,300/18986,0.10333333333333333,2.94135932033983,6.467340347673925,8.55164115115435e-8,1.1139202247858473e-5,1.0683017927027795e-5,HOXB4/HOXB3/HOXB8/OTX1/HOXC11/FGF8/HOXB2/RUNX2/HOXC9/HOXB1/HOXB7/HOXB5/DNAAF1/MYO3B/HOXA9/HOXB6/FGF9/BMP4/SIX2/PROX1/WNT16/HOXA5/HOXA7/GJB6/PAX6/PAX5/WNT3A/WNT11/IHH/FOXG1/USH1C,31
GO:0006858,extracellular transport,12/667,49/18986,0.24489795918367346,6.970963497842915,7.985538411255028,8.969027783810021e-8,1.131779193469527e-5,1.0854293821262193e-5,SPAG17/DNAH9/SPAG16/CFAP43/CFAP53/CFAP221/DNAAF1/CFAP54/DNAH5/DNAI1/RSPH4A/ROPN1L,12
GO:0019730,antimicrobial humoral response,23/667,185/18986,0.12432432432432433,3.5388630009319666,6.621433054248441,1.508242408360705e-7,1.8455402560486446e-5,1.7699597513106966e-5,CXCL13/CXCL9/CXCL5/IGHG1/DMBT1/IGHG3/MMP7/CCL13/IGHM/CCL11/AZU1/IGHG4/HAMP/CCL19/REG1A/IGHG2/CXCL1/CXCL14/CXCL10/IGKV3-20/KLK3/CAMP/LTF,23
GO:0031640,killing of cells of another organism,18/667,124/18986,0.14516129032258066,4.131982395898825,6.676573295003004,3.351137964190316e-7,3.8662557426858554e-5,3.707920773009375e-5,C8B/CXCL13/CXCL9/CCL13/CCL11/C6/IFNG/AZU1/GBP5/HAMP/CCL19/SCNN1B/CXCL1/CXCL14/CXCL10/PLA2G2A/CAMP/LTF,18
