ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0072044,collecting duct development,6/1923,15/18986,0.4,3.949245969838794,3.8360014229739505,0.002391539558257179,0.029920239473413185,0.024719872276081644,PTCH1/SHH/AKR1B1/PAX2/DACT2/TFAP2B,6
GO:2000052,positive regulation of non-canonical Wnt signaling pathway,6/1923,15/18986,0.4,3.949245969838794,3.8360014229739505,0.002391539558257179,0.029920239473413185,0.024719872276081644,MLLT3/DAB2/PLEKHA4/NKD1/RSPO3/DKK1,6
GO:0042537,benzene-containing compound metabolic process,8/1923,25/18986,0.32,3.159396775871035,3.62692922791972,0.0024344501973463,0.030325240012398173,0.025054480613837405,AADAT/SRD5A2/GSTM4/GSTM2/KMO/TH/ACSM1/IDO2,8
GO:0071467,cellular response to pH,8/1923,25/18986,0.32,3.159396775871035,3.62692922791972,0.0024344501973463,0.030325240012398173,0.025054480613837405,SCNN1B/KCNE1/GPR68/SCNN1G/SCNN1D/GJA1/ASIC2/INSRR,8
GO:0021915,neural tube development,27/1923,151/18986,0.17880794701986755,1.765391410358401,3.1699797860638674,0.0024430066383765445,0.030366097632520545,0.025088236866083555,PTCH1/TCTN1/RARG/DLC1/HES5/SHH/CC2D2A/BMP7/BMP4/PROX1/DACT1/FOXB1/PAX2/LRP2/FGF8/NOG/COBL/BMP5/DZIP1L/GLI3/SALL4/TRIM71/GDF7/WNT3A/FOLR1/GSC/FOXA1,27
GO:0030178,negative regulation of Wnt signaling pathway,31/1923,181/18986,0.1712707182320442,1.6909754843232403,3.1356855523130673,0.002474597575274736,0.030692476391607985,0.02535788849254987,SHISA6/MLLT3/IGFBP4/IGFBP6/AXIN2/APCDD1/MCC/TSKU/DAB2/SHH/WIF1/BARX1/DACT1/APOE/GLI1/NOG/TLE2/NKD1/ALPK2/DKK4/IGFBP2/GLI3/CXXC4/APCDD1L/SFRP4/SFRP2/TBX18/GSC/DKK1/LRP4/NOTUM,31
GO:0003007,heart morphogenesis,43/1923,274/18986,0.15693430656934307,1.5494304443710596,3.0753542178556477,0.0024825278301377975,0.030724618628909732,0.025384444162382412,MDM2/RYR1/PTCH1/IHH/DLC1/DNAAF1/TNNI3/MSX1/ADAMTS19/AXIN2/SOX11/DNAH11/ROBO2/CCDC40/SHH/BMP7/BMP4/RBM20/PROX1/LRP2/FGF8/ZFPM2/NOG/NDRG4/MIR17HG/MSX2/RBP4/ALPK2/TH/SYNPO2L/BMP5/GJA1/EYA1/HEY1/HEY2/SHOX2/HAS2/WNT3A/SFRP2/SIX1/FOLR1/DKK1/FOXN4,43
GO:0006937,regulation of muscle contraction,30/1923,174/18986,0.1724137931034483,1.702261193896032,3.1240865496833554,0.002594888580530597,0.03204106901749022,0.02647208537235417,TNNT1/RANGRF/DOCK5/TRPM4/TMEM38A/ADRA1B/SCN4A/ADA/NMU/SLC8A1/EDN3/TNNI3/ADRA2B/ADORA1/GUCY1A1/GSTM2/CHRNA3/ADORA2B/ADRA2A/CHRM2/CALCA/ITGA2/PTGS2/CACNA1S/TNNT3/ADRB2/NOS1/CASQ1/NMUR2/CHGA,30
GO:0048863,stem cell differentiation,40/1923,251/18986,0.1593625498007968,1.573404768860077,3.0700013046314134,0.002600031143556548,0.03204106901749022,0.02647208537235417,EFNB1/ESRRB/ESR1/MLLT3/EDN3/HES5/TCF15/MSX1/MEOX1/SEMA6C/SHH/BMP7/WNT7A/BMP4/WNT10A/PAX2/RBM24/SP7/NOG/CDX2/MSX2/WNT3/RUNX2/HOXA7/SEMA3D/HMGA2/TP63/GDNF/HOXD4/SEMA3E/PDGFRA/ERBB4/SFRP2/RET/SIX1/FOLR1/SEMA3A/GSC/HNF1B/FOXA1,40
GO:0030858,positive regulation of epithelial cell differentiation,16/1923,74/18986,0.21621621621621623,2.134727551264213,3.2832653050998433,0.002620847149764092,0.03222857980105203,0.02662700534296987,PTCH1/LEF1/SFN/ALOX15B/BMP7/TP73/BMP4/PAX2/FOXN1/GDNF/LHX1/FOXJ1/SFRP4/NKX6-1/SULT2B1/PROM1,16
