Gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
ANKFN1,-3.748198748567352,0.5294124802946732,-9.83529023177848,2.546819080703607e-19,3.723852589656123e-17,33.1485987725673
ZNF516,-1.8923846530625825,6.068394350034202,-9.829690562727224,2.6489653815778256e-19,3.8455408867991233e-17,33.06230511315956
RPS27L,-1.1714288136457407,5.523279355782119,-9.824972318264093,2.738188044988937e-19,3.946874739457813e-17,33.04671149696793
ZNF516-DT,-1.7482346489045795,-1.0809938404389812,-9.796286451991396,3.348682908195544e-19,4.792861368039876e-17,32.78892427800959
S100A5,2.671460827281481,-2.353085224335051,9.78792763205896,3.550795670915655e-19,5.046599385712571e-17,32.71338391454388
C19orf84,2.9975091080580154,-2.264867699200231,9.768196305243123,4.077284024857107e-19,5.75463336952749e-17,32.58472379790296
GPRIN2,3.8176423186421995,-1.5228259350605604,9.765756369090717,4.147560040741719e-19,5.813448984002394e-17,32.67892964414626
ZNF695,1.7155544795583315,0.6164728548338821,9.760164639784017,4.3131902809706747e-19,6.004197210304657e-17,32.716412467632885
TRIP13,1.2010872684082918,4.451855107317098,9.757924611273422,4.3813711708890955e-19,6.057618209329931e-17,32.614123006835364
N4BP3,1.5797744040204318,3.0656362814349345,9.747277772125953,4.720371114008419e-19,6.482217737912643e-17,32.62239926964729
PNOC,3.8652168045158017,-1.3038882217179195,9.720753858719933,5.682589775744114e-19,7.751205006860629e-17,32.37648908933713
DUXAP9,2.7958958530332074,-2.2945916247692915,9.717007003027417,5.8333868398538315e-19,7.903850275545952e-17,32.23239588389432
PTPN3,-1.2497357843076866,5.512033693665888,-9.66367474160045,8.465071639171249e-19,1.1244713463693885e-16,31.932270216468872
PNMA3,3.448884305760192,0.378793787627825,9.660792382170017,8.636941511538309e-19,1.1398519433799e-16,32.05827388008787
PMM1,-1.4439719757092293,5.246342835331867,-9.651740176142427,9.19958053932818e-19,1.2062727411697156e-16,31.874226162588002
