Gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
SPIB,0.16464548241865096,-0.34886293471018387,0.5179147530015777,0.6050083102877442,0.7056909291393415,-6.466462123195527
DGCR8,0.03787141089584445,5.372143292811524,0.5178811665906559,0.6050317083375825,0.7056909291393415,-7.172166527075854
LRIT3,0.11352273595991136,-2.003042489188893,0.5176152382954938,0.6052169823030946,0.7058477798341967,-6.286145727410799
BIRC3,-0.13366656486114437,3.9662569008046673,-0.5175884525822831,0.6052356455014045,0.7058477798341967,-6.99958750129538
AC135050.6,0.05891185025955892,3.5314523548301513,0.5175267543550534,0.6052786353106177,0.7058574124427928,-6.920472283497213
CNOT3,-0.04892740086922398,6.462430231868955,-0.5174184850856058,0.6053540780064062,0.7059048873373228,-7.220542041547466
S100A7,0.3031307819920679,-1.7539242255646772,0.5167710504991987,0.6058053028828263,0.7063749505467016,-6.320344888163683
SH2B1,0.04849006741278483,6.280707727671613,0.5167403606996911,0.6058266956789784,0.7063749505467016,-7.213885644025356
TBC1D8B,0.1265595193925544,1.5922827377038502,0.516678802510874,0.605869606785973,0.7063844589443617,-6.620233626560298
TUBA3FP,-0.14683370818591257,-2.3493919860329697,-0.5164601272952537,0.6060220524179015,0.7065216654242775,-6.221327832966495
YAF2,0.05199331977967159,3.4828940370443746,0.5161848073042357,0.6062140115336365,0.7067049197206394,-6.905523111109181
FZD2,0.08572104204141695,5.380938110453071,0.5158853991341834,0.6064227965184774,0.7069077669309742,-7.171844071494763
ESCO1,0.05867134531395912,4.149333710665056,0.5156409614264373,0.6065932731810163,0.7070659373784685,-7.029771880434306
CYP1A1,0.1571329860985169,-2.54929859047431,0.5150328291470199,0.6070174925850695,0.7075198439696595,-6.242037116611781
NCOR2,0.06008302838147905,8.190363259981268,0.5149280028013086,0.607090630559874,0.7075645128741186,-7.231902339668709
BGN,-0.11021281514839387,8.191878249062935,-0.5147875143517385,0.6071886564104518,0.707638181827285,-7.232162705989446
DPP10-AS1,0.22637195546676625,-0.8789074111296028,0.51440999240199,0.6074521076743966,0.7077866303794534,-6.355418772934296
CFL1,0.037169259947337,9.90765939784007,0.5143872199342187,0.607468000936281,0.7077866303794534,-7.2186721417688995
C1QTNF2,-0.10054142939107263,-0.4338249768047828,-0.5143840818719466,0.6074701910537249,0.7077866303794534,-6.452274296987504
ACBD3,-0.06148833088805805,5.299579803591751,-0.5143778769472428,0.6074745216072363,0.7077866303794534,-7.160627232953543
MRPL44,-0.04724392646300224,4.4784938647770485,-0.5143554722555631,0.6074901584500683,0.7077866303794534,-7.08002586219344
NT5DC3,0.06728116853339383,3.884899555963394,0.5138876671058913,0.6078166936520542,0.708126482188842,-6.999347774009624
CACYBPP2,-0.09920486210740931,-1.5829318094026952,-0.5137211073342417,0.6079329739537067,0.7081841799100547,-6.33969811013946
LRATD1,-0.16380402386322235,5.399724022128219,-0.5137102133892084,0.607940579686654,0.7081841799100547,-7.144587056327505
AC034207.1,0.10429451123694644,-1.5371718611707774,0.513666996657659,0.6079707523652153,0.7081841799100547,-6.332545973227191
ARHGEF34P,0.09393167586748152,0.5775271932380287,0.5132807825145594,0.6082404257967517,0.7084382776557642,-6.532390824900136
ALKBH2,0.05457132019969446,4.372483338368099,0.5132547458208184,0.608258607808162,0.7084382776557642,-7.067873313873409
NFIX,-0.10724289910733198,7.146731804462007,-0.5130371825357986,0.6084105466917735,0.7085746347466394,-7.2316379369121995
AL513320.1,0.10586541303345065,-1.6510193761108676,0.5129785370339897,0.6084515056499091,0.7085817328001808,-6.3339006395436845
EFNA4,0.0664536568603804,4.78968842824628,0.5126844788405454,0.6086568992398467,0.7087427784459307,-7.10728783228182
NUP160,-0.045473137703218036,5.574864616488325,-0.5126807009360765,0.6086595382304307,0.7087427784459307,-7.1875159726980336
MRC2,0.10216781215338067,6.078983989007831,0.5125398199777217,0.6087579518760622,0.7088167639031273,-7.210550784463722
DES,0.22975568551065217,2.7299531818082503,0.5123987580166702,0.6088564991053251,0.7088908964147931,-6.898925440733321
H2AJ,0.11202269298331746,5.482998494039333,0.5122587425161753,0.6089543223336935,0.7089641775282114,-7.149791623466913
TRNT1,-0.0491194916379194,3.646833610767353,-0.5122022679646473,0.6089937808355192,0.708969504049782,-6.946348541044869
KLHL31,-0.10172132867454553,1.1258811355285512,-0.5121216063102807,0.6090501407371927,0.7089945048595397,-6.562002238876584
DCAF4L1,0.09814619384336876,-1.4020730038928595,0.5120560638267176,0.609095938293543,0.709007207896791,-6.357151537665285
RIPK3,0.11103371639671833,2.7166527067388375,0.5118874933662672,0.6092137333316234,0.7090827655932763,-6.801954293889906
SLC5A11,0.1280356232768569,-1.7857202237868812,0.5118633196263797,0.609230626490346,0.7090827655932763,-6.318199902955595
LINC01231,0.16278581056201968,-1.9501231972735373,0.5116699565063547,0.6093657605786322,0.7091994341178562,-6.251134603815884
TNFAIP3,0.0888181111142945,5.228900001570457,0.511087440036751,0.6097729401095846,0.7095882125883265,-7.155692907702665
AIFM1,0.060892611459267165,6.858157890679671,0.5110564102965183,0.6097946333385025,0.7095882125883265,-7.230375777088327
CXCR4,0.09367687713865358,6.438673709538445,0.5110148232714868,0.609823707821251,0.7095882125883265,-7.222664831177435
VDAC3,-0.044373182179145765,6.993242170863114,-0.5109922835858524,0.6098394661129847,0.7095882125883265,-7.231911602036245
AC005962.1,-0.10812613346827593,-2.058812325050452,-0.5108437636324014,0.6099433062196669,0.7096684082670317,-6.27261632616311
HK1,-0.054830916767439675,7.377691205922102,-0.5105987234014528,0.6101146473023371,0.7098271275844468,-7.234877701992071
AC244517.1,0.17629435101188595,-1.5039039341490417,0.5105224149554469,0.6101680093478643,0.7098485759579848,-6.323365607218236
AP000442.1,0.06799174326243607,-0.9317690872500576,0.5103846650368611,0.6102643423322477,0.7098816086170958,-6.387345586433444
PSCA,-0.24239461300587634,0.5194851323173474,-0.5103819231696305,0.6102662598778733,0.7098816086170958,-6.50323680150064
EIF4A1P10,0.09136606757371318,0.3049202813558484,0.5100029850023761,0.6105312990464,0.7101492658283657,-6.511011249924789
AL928654.2,-0.09602439376033231,-0.24741882404906726,-0.5095115439316832,0.6108751021936512,0.7105085027460093,-6.455797483349425
SIGLEC16,-0.1347874063092669,-0.9339567842789777,-0.5091936268941384,0.6110975571273882,0.7107265665840937,-6.390959176664043
LIAS,-0.04512860413347708,3.176264402807186,-0.5091321167742102,0.6111406015519132,0.7107359570806296,-6.855116116974223
CBLL1,-0.03796413749302374,4.754431067852605,-0.5089700253220166,0.611254038685221,0.7108272061703056,-7.112767658118699
POLD4,0.051766580364255965,2.5320935728612084,0.5087223307642459,0.6114274019294816,0.7109728620124206,-6.771421317431418
RBBP8NL,-0.09408712774186467,4.023803760867247,-0.5086911104287268,0.6114492548275487,0.7109728620124206,-6.987775528511563
